x,y
43.08980848380476,3.611013947208171
42.96348323657428,3.6433902160975458
42.83723756322983,3.676049935545152
42.71107230139126,3.7089898388335634
42.584988288678424,3.742206659245355
42.45898636271118,3.7756971300630977
42.333067361109364,3.8094579845693666
42.20723212149285,3.843485956046736
42.08148148148148,3.8777777777777773
41.95581627869511,3.9123301830450665
41.83023735075359,3.9471399051311753
41.70474553527678,3.9822036773186777
41.57934166988453,4.017518232890148
41.454026592196676,4.05308030512816
41.3288011398331,4.088886627315286
41.20366615041363,4.1249339327341
41.07862246155814,4.161218954667175
40.953670910886466,4.197738426397087
40.828812336018466,4.234489081206407
40.704047574574,4.2714676523777095
40.57937746417291,4.3086708731935675
40.45480284243506,4.346095476936556
40.33032454698029,4.383738196889246
40.20594341542846,4.421595766334216
40.08166028539942,4.459664918554033
39.95747599451304,4.497942386831275
39.833391380389145,4.5364249044485145
39.70940728064761,4.575109204688325
39.58552453290828,4.613992020833281
39.461743974791,4.653070086165953
39.338066443915636,4.692340133968918
39.21449277790203,4.731798897524749
39.09102381437004,4.771443110116018
38.96766039093953,4.8112695050253
38.84440334523033,4.851274815535168
38.72125351486231,4.891455774928194
38.59821173745533,4.931809116486955
38.475278850629216,4.972331573494021
38.352455692003836,5.01301987923197
38.22974309919905,5.053870766983369
38.1071419098347,5.094880970030799
37.984652961530635,5.136047221656828
37.862277091906726,5.177366255144031
37.74001513858282,5.2188348037749845
37.61786793917875,5.260449600832258
37.49583633131441,5.3022073795984275
37.373921152609604,5.344104873356065
37.252123240684206,5.386138815387746
37.13044343315809,5.428305938976042
37.00888256765108,5.470602977403528
36.887441481783036,5.513026663952777
36.76612101317382,5.555573731906364
36.64492199944328,5.598240914546859
36.52384527821126,5.641024945156838
36.40289168709763,5.683922557018876
36.28206206372222,5.726930483415544
36.1613572457049,5.770045457629418
36.04077807066554,5.813264212943069
35.92032537622395,5.8565834826390715
35.8,5.9
35.679670938248705,5.943619807699235
35.55920953256065,5.9875504561258905
35.43862013855908,6.031790940136148
35.3179071118672,6.076340254586179
35.19707480810827,6.121197394332162
35.07612758290552,6.166361354230274
34.95506979188218,6.21183112913669
34.83390579066149,6.257605713907589
34.71263993486667,6.303684103399146
34.59127658012098,6.350065292467536
34.469820082047654,6.396748275968938
34.348274796269905,6.443732048759528
34.22664507841098,6.49101560569548
34.104935284094125,6.538597941632974
33.98314976894256,6.586478051428185
33.86129288857953,6.6346549299372874
33.73936899862825,6.683127572016462
33.617382454711986,6.73189497252188
33.49533761245395,6.780956126309723
33.37323882747739,6.830310028236166
33.25109045540554,6.879955673157384
33.128896851861626,6.929892055929553
33.00666237246889,6.980118171408852
32.88439137285056,7.030633014451456
32.76208820862988,7.081435579913541
32.63975723543009,7.132524862651286
32.51740280887441,7.1838998575208635
32.39502928458609,7.235559559378453
32.27264101818835,7.287502963080231
32.15024236530444,7.339729063482371
32.02783768155759,7.392236855441053
31.905431322571033,7.445025333812453
31.783027643968005,7.498093493452745
31.66063100137174,7.551440329218108
31.538245750405473,7.605064835964716
31.415876246692445,7.658966008548749
31.293526845855887,7.7131428418263805
31.171201903519034,7.767594330653789
31.04890577530512,7.822319469887148
30.926642816837383,7.877317254382637
30.80441738373906,7.932586678996431
30.68223383163338,7.988126738584708
30.560096516143584,8.043936428003642
30.438009792892903,8.100014742109414
30.315978017504573,8.156360675758194
30.194005545601833,8.212973223806163
30.07209673280792,8.269851381109497
29.95025593474606,8.326994142524368
29.82848750703949,8.38440050290696
29.706795805311454,8.442069457113444
29.585185185185182,8.5
29.46366000228391,8.558191126422802
29.34222461223087,8.616641831238027
29.220883370649293,8.675351109301852
29.099640633162426,8.734317955470454
28.9785007553935,8.793541364600008
28.85746809296575,8.853020331546691
28.73654700150241,8.912753851166679
28.615741836626707,8.972740918316152
28.495056953961893,9.03298052785128
28.374496709131193,9.093471674628244
28.254065457757847,9.154213353503222
28.133767555465088,9.215204559332383
28.01360735787615,9.276444286971914
27.89358922061427,9.337931531277983
27.773717499302677,9.399665287106771
27.653996549564617,9.461644549314451
27.534430727023317,9.523868312757202
27.415024387302015,9.586335572291201
27.295781886023946,9.649045322772624
27.176707578812344,9.711996559057646
27.05780582129045,9.775188276002442
26.93908096908149,9.838619468463195
26.820537377808712,9.902289131296074
26.702179403095332,9.966196259357261
26.584011400564606,10.030339847502932
26.466037725839755,10.094718890589258
26.348262734544022,10.159332383472421
26.23069078230064,10.224179321008597
26.113326224732845,10.289258698053958
25.996173417463865,10.354569509464687
25.879236716116946,10.420110750096956
25.76252047631532,10.485881414806942
25.646029053682216,10.551880498450823
25.529766803840875,10.618106995884776
25.413738082414532,10.684559901964974
25.29794724502642,10.751238211547594
25.18239864729977,10.818140919488819
